ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,ont,comparison
hsa01200,Carbon metabolism,95,-0.392587687220428,-1.51308197148789,0.0037037037037037,0.0345080763582966,0.0231857175979597,KG,mono-rr-vs-hc
hsa03008,Ribosome biogenesis in eukaryotes,70,-0.528975074734893,-1.94305594080565,0.00377358490566038,0.0345080763582966,0.0231857175979597,KG,mono-rr-vs-hc
hsa04146,Peroxisome,75,-0.416650361646314,-1.5534389320243,0.00377358490566038,0.0345080763582966,0.0231857175979597,KG,mono-rr-vs-hc
hsa05340,Primary immunodeficiency,33,-0.594616857103504,-1.85670541826374,0.00378787878787879,0.0345080763582966,0.0231857175979597,KG,mono-rr-vs-hc
hsa04068,FoxO signaling pathway,123,0.3976406352379,1.60167954430911,0.00380228136882129,0.0345080763582966,0.0231857175979597,KG,mono-rr-vs-hc
hsa03050,Proteasome,43,-0.608423186749802,-2.02253236322753,0.00383141762452107,0.0345080763582966,0.0231857175979597,KG,mono-rr-vs-hc
hsa04723,Retrograde endocannabinoid signaling,62,0.531151004824686,1.89253641397917,0.00383141762452107,0.0345080763582966,0.0231857175979597,KG,mono-rr-vs-hc
hsa04918,Thyroid hormone synthesis,59,0.532649351975651,1.88612382914408,0.00384615384615385,0.0345080763582966,0.0231857175979597,KG,mono-rr-vs-hc
hsa04720,Long-term potentiation,52,0.524002947247309,1.80288614219048,0.00386100386100386,0.0345080763582966,0.0231857175979597,KG,mono-rr-vs-hc
hsa04623,Cytosolic DNA-sensing pathway,48,-0.498581283631254,-1.72536836771864,0.00392156862745098,0.0345080763582966,0.0231857175979597,KG,mono-rr-vs-hc
hsa04920,Adipocytokine signaling pathway,63,0.496588207833253,1.80857389476968,0.00393700787401575,0.0345080763582966,0.0231857175979597,KG,mono-rr-vs-hc
hsa05032,Morphine addiction,57,0.511409946702874,1.78574177112412,0.00395256916996047,0.0345080763582966,0.0231857175979597,KG,mono-rr-vs-hc
hsa04726,Serotonergic synapse,72,0.49628972456186,1.82253173865317,0.00396825396825397,0.0345080763582966,0.0231857175979597,KG,mono-rr-vs-hc
hsa04966,Collecting duct acid secretion,22,-0.609149965131188,-1.73524131060723,0.00396825396825397,0.0345080763582966,0.0231857175979597,KG,mono-rr-vs-hc
hsa05146,Amoebiasis,75,0.463615676798539,1.71451857743088,0.00398406374501992,0.0345080763582966,0.0231857175979597,KG,mono-rr-vs-hc
hsa04917,Prolactin signaling pathway,62,0.503748041762903,1.81288244279571,0.004,0.0345080763582966,0.0231857175979597,KG,mono-rr-vs-hc
hsa02010,ABC transporters,34,0.509661244021301,1.6424219907598,0.0040650406504065,0.0345080763582966,0.0231857175979597,KG,mono-rr-vs-hc
hsa04750,Inflammatory mediator regulation of TRP channels,76,0.44288707110288,1.64319717455757,0.0040650406504065,0.0345080763582966,0.0231857175979597,KG,mono-rr-vs-hc
hsa04922,Glucagon signaling pathway,81,0.437764824284796,1.668500360136,0.00411522633744856,0.0345080763582966,0.0231857175979597,KG,mono-rr-vs-hc
hsa04510,Focal adhesion,156,0.378633871111261,1.57194927074871,0.004149377593361,0.0345080763582966,0.0231857175979597,KG,mono-rr-vs-hc
