baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HCP5,29.7066627281045,-0.725172229291327,0.155581562260773,-4.66104221318881,3.14612182229511e-06,0.014157548200328
PTRH2,71.7669510725164,-0.532097962443948,0.125490580700596,-4.24014264236662,2.2337779230288e-05,0.0335066688454319
UTP6,82.0272235220789,-0.521691745158654,0.121920295538642,-4.27895735368608,1.87770832067127e-05,0.0335066688454319
NRBF2,113.924438994124,-0.528043055957326,0.131341602988632,-4.0203792548735,5.81045245947571e-05,0.0435783934460679
RNF130,206.52167263779,0.46391335135441,0.113694458211679,4.08035148459643,4.49676528102402e-05,0.0435783934460679
TLR2,173.654643627849,-0.409561333408118,0.101222740617666,-4.04613954244823,5.2069201527853e-05,0.0435783934460679
BTBD10,30.498342781401,-0.597647265323696,0.155197725983784,-3.850876432211,0.000117695874973701,0.0566226513545001
C3AR1,217.766101439275,-0.582919945280265,0.14983721209143,-3.89035498688117,0.000100097681121791,0.0566226513545001
PABPC1,878.938500598529,0.358855119713094,0.0941632083779364,3.81099078817262,0.000138410925533223,0.0566226513545001
SELL,1259.66970873173,-0.423158005233952,0.109627434577133,-3.8599644958053,0.00011340350071467,0.0566226513545001
TRIM21,59.0336248276028,-0.596242623875377,0.156209070616916,-3.81695263610901,0.000135110094162857,0.0566226513545001
AHNAK,521.365512264713,0.441628109277533,0.119017173749482,3.71062507505942,0.000206748116148075,0.06681026594441
CCR2,155.944504140899,-0.568976557859859,0.154869504679021,-3.67390958626171,0.000238867285187232,0.06681026594441
COTL1,451.620063650527,0.39170004612045,0.106709475242882,3.67071476294772,0.000241873142035071,0.06681026594441
GBAS,26.413244438471,0.573288778453114,0.156210544411139,3.66997490863513,0.000242574278048483,0.06681026594441
PTP4A2,247.781452576181,0.335884363133244,0.0913703939246392,3.67607436835914,0.00023685050341256,0.06681026594441
TLR1,51.2581905581668,-0.52778582091875,0.144210942933005,-3.659818112166,0.000252394338012215,0.06681026594441
CD3D,56.6851606377698,-0.586915680517543,0.162920431691247,-3.60246823817541,0.00031520992447732,0.0788024811193299
SOCS3,27.42147656904,0.587002630787429,0.164052837051946,3.57813154186148,0.000346059285156134,0.0819614096422421
NBPF10,55.2230285172553,0.524303525953787,0.147405144276657,3.55688757354186,0.000375274663387538,0.0844367992621961
TNFAIP8,115.404915533317,-0.47624486087634,0.134760344915881,-3.53401337146782,0.000409300371286997,0.0877072224186422
RB1CC1,62.7403753160548,0.458906556943244,0.130317555660168,3.5214484696133,0.000429196075652208,0.0877901063834062
CXCR2,25.7526498375911,-0.563549296685944,0.160993655725334,-3.50044412711142,0.000464483596170302,0.0904145680779074
DNAJA1,242.198240428397,-0.39891582102542,0.114287849222533,-3.49044822996607,0.000482211029748839,0.0904145680779074
IST1,93.3873635548661,-0.396516364626541,0.114494535522131,-3.46319029828194,0.000533810717107739,0.096085929079393
TGFBI,178.812796299928,0.351554758996622,0.10183984395165,3.4520355231841,0.00055637447234483,0.0962955817519898
CCDC88A,162.176567536692,0.36580557578211,0.107192099653284,3.41261694626114,0.000643423131597398,0.104376649254368
TRIM22,208.293804830211,-0.476575128657042,0.140148916599379,-3.40049099358613,0.00067264951741704,0.104376649254368
VTA1,77.9186777180553,-0.491928322336483,0.144277844888051,-3.40959017455647,0.000650605655529055,0.104376649254368
ACADVL,32.7377786975492,0.520243161744421,0.154969027056442,3.35707832478642,0.000787707947676309,0.107414720137679
CAST,152.999869014454,0.363581215231006,0.108158994284708,3.36154397177498,0.00077508014578058,0.107414720137679
CRTAP,123.814145359562,0.413246428193094,0.12266467493768,3.36891145232355,0.00075465668464499,0.107414720137679
DHRS9,22.8432535762693,-0.597318369993818,0.177016735269592,-3.37436101216146,0.000739872675166225,0.107414720137679
HIF1A,28.6961427421508,0.541088916951112,0.163496530039838,3.30948257323424,0.000934685844212975,0.122746389032225
TRIB1,42.1477544083971,0.556640743012072,0.168497820802781,3.3035486177806,0.000954694136917304,0.122746389032225
IL2RG,31.3035508928542,-0.497010843455419,0.154634495378621,-3.21410072337672,0.00130853762658116,0.149155032444781
PSMC6,137.27320691809,-0.425402134081733,0.132490891176385,-3.21080287334921,0.00132364700473205,0.149155032444781
RNF34,29.118597095343,-0.509591072459092,0.158734749881173,-3.21033090007429,0.00132582251062028,0.149155032444781
RNF4,79.1140622229865,-0.396223027517432,0.122543536045447,-3.23332458246092,0.00122358454878782,0.149155032444781
TRAF3IP3,119.921802138428,-0.386555392980522,0.119955080108512,-3.22250122821678,0.00127076620933935,0.149155032444781
FAM118B,25.6955130905718,-0.540883439008069,0.170147203770982,-3.1789146516689,0.00147827611796459,0.152805818712117
GIMAP7,344.081475219018,-0.565008141483371,0.177023388161167,-3.19171465054647,0.00141430979550954,0.152805818712117
H2AFY,160.711498733792,0.335292052697899,0.105576303480667,3.1758267872989,0.00149410133851847,0.152805818712117
SLC35A1,130.057805801552,-0.397613184321874,0.124897351941959,-3.18351973152039,0.00145496196534613,0.152805818712117
CASP1,1031.43788235944,-0.36207656133357,0.114717759557054,-3.15623808145846,0.00159818350743572,0.159818350743572
LYPLAL1,62.761610533707,-0.439335832572203,0.140152631583452,-3.13469556446114,0.00172032542724376,0.168292704839064
RTN4,96.8234151220144,0.383844806576291,0.122810421731269,3.12550678651858,0.00177498974348175,0.169945826503572
HIST1H1C,99.5805236101226,0.473688131206928,0.152453311849288,3.10710292522348,0.00188930606763837,0.177122443841097
ARHGAP25,77.8009213125539,-0.378753385108704,0.126412859799,-2.99616182808404,0.0027340129893281,0.193809227141057
ARID1A,40.6572291782491,0.45878663391329,0.149617565338983,3.06639553232827,0.00216656502835126,0.193809227141057
C14orf119,117.260044200694,-0.418416043713478,0.137205490945372,-3.04955757113299,0.00229178703490916,0.193809227141057
CLEC12A,426.613738270616,-0.421732961692237,0.138005582364553,-3.05591233677922,0.00224376847496368,0.193809227141057
CYP1B1,88.7938699265257,0.435202033093125,0.145204343279235,2.99716952857401,0.0027249912904442,0.193809227141057
DYNLL1,657.832059326599,-0.327944871158106,0.109215657697875,-3.00272761315327,0.00267571800493011,0.193809227141057
HDAC9,27.9367446660626,-0.483321190432697,0.160701980311472,-3.00756213144311,0.00263352285053732,0.193809227141057
MAP1LC3B,31.3453630469412,0.457226335787387,0.152707281807048,2.99413577647929,0.00275223437593512,0.193809227141057
MRPS7,87.5064203084612,-0.392308600521528,0.131045841425342,-2.99367455124495,0.00275639789711726,0.193809227141057
NDUFAF2,68.9958926102649,0.375673303816287,0.124068727047048,3.02794517810947,0.00246222750947461,0.193809227141057
POLR3K,42.170213086126,-0.450642090702603,0.148423945749488,-3.03618185345378,0.00239594809952365,0.193809227141057
PSMB5,79.7594255158383,-0.373398437596696,0.124476595397625,-2.99974815670305,0.00270202916935089,0.193809227141057
SOS2,24.5772387040813,0.493164454834628,0.164030426046752,3.00654254652771,0.00264237073147938,0.193809227141057
TAF10,22.6490478716044,0.492490995627873,0.16171991114074,3.04533308331634,0.00232422750122505,0.193809227141057
TCHP,125.678862069332,-0.355709572768463,0.115828976463003,-3.07098951946692,0.00213350639598771,0.193809227141057
UBA3,128.760705769756,-0.352164737586071,0.117254127310132,-3.00343148394778,0.00266953650941945,0.193809227141057
