baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PTRH2,71.7669510725164,-0.606158562159175,0.125840144965462,-4.81689338744439,1.4581054342202e-06,0.00836223466525285
BHLHE40,35.1903700818506,0.706988713907007,0.158218511879739,4.46843233138475,7.87949303362512e-06,0.0150629641826134
SOCS3,27.42147656904,0.744117039019492,0.163406798935028,4.55377036860846,5.26928732021711e-06,0.0150629641826134
COTL1,451.620063650527,0.445735821740445,0.10662477870277,4.18041497636294,2.90977595721953e-05,0.0151705137405946
HCP5,29.7066627281045,-0.654741447370994,0.155041148140255,-4.22301727783063,2.41053332821678e-05,0.0151705137405946
HIST1H1C,99.5805236101226,0.649376016421897,0.15211471671585,4.26898876349308,1.96361159285154e-05,0.0151705137405946
MAFB,133.283543775524,0.767695762681969,0.177426648933022,4.32683459502056,1.51267465719446e-05,0.0151705137405946
NRBF2,113.924438994124,-0.559071080392934,0.131382694598975,-4.25528706120247,2.08780979235163e-05,0.0151705137405946
OTUD1,50.5586761866259,0.711828189990926,0.163681472804798,4.34886232261505,1.36845584564663e-05,0.0151705137405946
RTN4,96.8234151220144,0.519130283045276,0.122210512989528,4.24783654324206,2.15844779513379e-05,0.0151705137405946
ZFP36L1,196.084613368035,0.51417496913825,0.122632427658151,4.19281407827592,2.75515241156004e-05,0.0151705137405946
RNF34,29.118597095343,-0.65512119240862,0.159434608705797,-4.10902750492215,3.97328756872633e-05,0.0189890035055379
CEBPB,95.4611675868048,0.590249552186823,0.145503325127317,4.05660524713335,4.97911310117918e-05,0.0191537397232151
KLF10,253.64845469198,0.585966023846654,0.144498362485853,4.0551741470705,5.00969652743202e-05,0.0191537397232151
RHOG,85.2205970791518,0.54380151347652,0.1333180563455,4.07897870988484,4.52339787269056e-05,0.0191537397232151
CDKN2D,46.8140601386998,0.572120961388335,0.142687174991177,4.0096172723562,6.0817242775124e-05,0.0214806035012738
IRF2BP2,126.847917277905,0.50775209259723,0.127409009419656,3.9852134076705,6.74195053222195e-05,0.0214806035012738
TRIM21,59.0336248276028,-0.623827561777166,0.156250221675101,-3.99249073114483,6.53828894314332e-05,0.0214806035012738
CCR2,155.944504140899,-0.609829928852227,0.154902023210947,-3.93687516929173,8.25495203636895e-05,0.02491692101504
ATG4C,51.259032566841,-0.514494398712477,0.131690537724659,-3.90684408767616,9.35094479460506e-05,0.0258395752886255
IST1,93.3873635548661,-0.447723429167018,0.114683380881089,-3.9039957291741,9.46174509260915e-05,0.0258395752886255
LDLR,37.8798281456308,0.572072910336163,0.148434539399647,3.85404173886986,0.000116183775381714,0.0289701718180055
ZNF143,44.1427741587242,-0.537649728278319,0.139128093666315,-3.86442244776111,0.000111352360786642,0.0289701718180055
CBX6,268.996372425636,0.462099034567473,0.120757647149803,3.82666477423354,0.000129891213388054,0.0310385878658536
VTA1,77.9186777180553,-0.549970215027548,0.144414775872833,-3.80826831398357,0.000139943379785295,0.0321030113227468
CTDSPL,39.1723208233196,-0.633359400161256,0.170227479578898,-3.72066485227906,0.000198698987155183,0.0346511332272086
DSC2,15.5199792452725,0.651783112493725,0.174386022857405,3.7375880349464,0.000185794044965339,0.0346511332272086
GIMAP8,35.9015520986345,-0.61851624585032,0.165130396433484,-3.74562321177169,0.00017994650190938,0.0346511332272086
JRKL,15.3052875552118,-0.652148149825149,0.173834672863446,-3.7515424229402,0.000175750007121458,0.0346511332272086
KLF11,28.6272632107786,0.599356148176928,0.159637536535015,3.75448131552359,0.000173700801065909,0.0346511332272086
LINC00309,16.6422259796146,-0.664680573817162,0.17675229497103,-3.7605201897158,0.000169560388196222,0.0346511332272086
TCHP,125.678862069332,-0.431695420233414,0.116053668779948,-3.71979123772434,0.000199387514646536,0.0346511332272086
ZNF527,31.9694038190101,0.626118686836826,0.168304841736912,3.72014661239249,0.000199107160888199,0.0346511332272086
CACNA2D3,73.6492465587764,-0.534261363997635,0.144516178598631,-3.69689656326615,0.000218251215602827,0.0349878233524514
ELP3,26.4249230250756,-0.584305305891521,0.157730095107466,-3.70446302903335,0.000211839000264638,0.0349878233524514
GIMAP7,344.081475219018,-0.654177119553259,0.177029492878722,-3.69530019498738,0.000219627138742502,0.0349878233524514
UTP6,82.0272235220789,-0.444852929705723,0.121384572519689,-3.66482264155577,0.00024751004285243,0.0383640566421266
PPWD1,43.7467960440488,-0.50719324413481,0.139009515423862,-3.64862248881522,0.000263650192236211,0.039790364538807
PPIF,33.2024289088004,0.588927383902045,0.161932032562688,3.63688008222868,0.000275960325128921,0.0405803196054965
RMI1,15.092689639352,-0.629086253428327,0.1733617471051,-3.62874892491101,0.000284798056254874,0.0408329213155425
TLE3,41.3167055508282,0.565364252310449,0.156817935027127,3.60522699277128,0.000311880204350242,0.0436251944377717
KIAA0319L,34.4523089988195,-0.543789967092525,0.151291673281058,-3.59431524088119,0.00032524584881204,0.0444115462604059
LYN,178.742137488623,0.370138888161779,0.104437208616373,3.54412850616683,0.000393913197506992,0.0524334935527796
PIM3,15.8949754507933,0.625034800134723,0.176634168626944,3.53858375756739,0.000402279636673461,0.0524334935527796
C3AR1,217.766101439275,-0.522984685370001,0.149701658746355,-3.49351296271282,0.000476709839735175,0.0563119570203232
ICAM1,28.3612071370079,0.544483820995542,0.15569983225401,3.49700968275462,0.000470504754333226,0.0563119570203232
PCBP1,242.263452335763,0.370082060074579,0.105926394938673,3.49376621652082,0.000476257878079001,0.0563119570203232
PPBP,18.1427153228487,0.574289246420992,0.164289756362441,3.49558766861914,0.000473019035461771,0.0563119570203232
TGDS,15.967650354364,-0.599649883753212,0.171767902125429,-3.49104737458652,0.000481130931821419,0.0563119570203232
ACADVL,32.7377786975492,0.537713569123644,0.154798300093351,3.4736400128385,0.000513449399049281,0.0588926460709525
IRF1,117.910122548925,0.45165327582101,0.130618387401198,3.45780777735179,0.000544589797103581,0.0610864532857613
SARS,124.976420108429,-0.357858386476561,0.103629497492342,-3.45324830416171,0.000553878913837766,0.0610864532857613
C14orf119,117.260044200694,-0.464761451549894,0.137295115824714,-3.38512734963754,0.000711452386880422,0.0732507771389816
CRK,44.5281019787759,0.481700110523845,0.142295005330432,3.3852214939327,0.000711208406050237,0.0732507771389816
CWC22,55.6015627842757,-0.467722075348989,0.138441858782057,-3.37847295221096,0.000728896024136851,0.0732507771389816
GALNT1,30.4073743837374,0.507965426674651,0.150970396850482,3.36466908262637,0.000766355122639738,0.0732507771389816
IFNGR1,604.535192470364,-0.336491731205909,0.0999825896974729,-3.36550325635758,0.00076404165353696,0.0732507771389816
LINC00324,35.8130802819279,-0.52865492870899,0.156517270211065,-3.37761403579359,0.000731176289124146,0.0732507771389816
NUMB,174.114262673093,-0.350151339227896,0.103965315413953,-3.36796303491908,0.000757257484432845,0.0732507771389816
TPR,453.69077541969,-0.309217685753751,0.0909842718993792,-3.39858394531881,0.000677356724046838,0.0732507771389816
CSTF1,20.2806196201585,-0.538715229209413,0.160846710413197,-3.34924617249251,0.000810317645595073,0.0761831425817663
CAST,152.999869014454,0.359791166553013,0.108087554203222,3.32870115532959,0.000872519715641498,0.0777433899135295
HMGCL,70.1065934399161,-0.506181749523597,0.151726736345638,-3.33614076012616,0.000849501399825,0.0777433899135295
ITGB2,589.556471219704,0.283740460382713,0.085300208897752,3.32637474220993,0.000879835537973124,0.0777433899135295
LEO1,40.2410750888375,-0.517927874208635,0.155722690987434,-3.32596277989075,0.000881136938863019,0.0777433899135295
GPCPD1,108.519539925462,0.46642424417243,0.140542599224267,3.31873927725034,0.000904248143220984,0.0784251000536617
ZDHHC20,47.914631426311,0.450047636595264,0.135758250098006,3.31506657068995,0.000916213025910259,0.0784251000536617
TNFAIP8L2,109.921035441441,-0.489886653868948,0.148412178348012,-3.30085212225785,0.000963916730157842,0.0812950359919886
FTSJ2,46.8993932682784,-0.474633279741618,0.144056669169641,-3.29476783322465,0.000985030252709587,0.081871717381007
PFN1,227.649780027138,0.402402501705838,0.122346447839276,3.28904115168481,0.00100529324128206,0.0823622391250376
BRD8,44.5303165279977,-0.493085706501305,0.150768313856151,-3.27048631035139,0.00107362738573524,0.0867218740449522
ASUN,14.9919051764593,-0.561490167818793,0.171982855931777,-3.26480313852637,0.00109540179567154,0.0872517958080041
DAXX,56.6217421822098,-0.470526596983446,0.145137244836211,-3.24194246290427,0.00118717988030354,0.0932668029252165
DYNLL1,657.832059326599,-0.35363606740656,0.109226927211834,-3.2376271715556,0.0012052820771878,0.0934093609820548
MAP1LC3B,31.3453630469412,0.490587946419826,0.15242850522656,3.21847902195622,0.00128872397221846,0.0985444264089715
RIN2,37.0696382253733,-0.471614436176298,0.146779655747026,-3.21307768284403,0.001313207657337,0.0990953409845746
