gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CLU,7.67947319086265,0.701161838202851,0.150141513354632,4.6700064661445,3.01190254905625e-06,0.0479525004835245
ANG,58.5087655397239,-0.638620557707322,0.157689079704995,-4.04987180407199,5.1245698230541e-05,0.271960920509481
RNASE4,92.9764303906211,-0.638686463013572,0.157568195231222,-4.05339708356967,5.04792125029604e-05,0.271960920509481
CNN2,124.323397906689,0.545073709578811,0.142282223665883,3.83093330660049,0.000127658107680054,0.508111183093535
UBE2J1,42.4160412333869,0.568496691518234,0.154218347830744,3.68631034837802,0.000227528858592943,0.724497391531649
A1BG,12.2960087924963,0.00758063008693455,0.177620348707694,0.0426788379940062,0.965957549030657,1
A1BG-AS1,1.24025373203004,-0.115580658011508,0.11790671363126,-0.980272068077255,0.326951838592069,1
A1CF,0.0491219458000903,0,0.0344179956605189,0,1,1
A2M,0.654078328196168,0.00151150750456351,0.0907907271203126,0.0166482586108217,0.986717225078651,1
A2M-AS1,1.67180108140704,-0.237749995644788,0.13456422562329,-1.76681428175691,0.0772593361121326,1
A2ML1,6.52959853410476,-0.253556880536146,0.177567234091177,-1.42794858428638,0.1533066580775,1
A2MP1,0.0515721751186669,-0.00351188213812802,0.0344179956605189,-0.102036218865485,0.918727926603907,1
A4GALT,0.0531859057868782,0.00323804215001573,0.0344179956605189,0.094079916272699,0.925045674103558,1
AAAS,28.6462198793997,-0.0945557012612606,0.156082454636557,-0.605806088079769,0.544643526507016,1
AACS,1.95347081211297,0.0433493937306176,0.14319781509263,0.302723848842082,0.762100321334661,1
AADACL2,0.0464692741324066,0.00323804215001573,0.0344179956605189,0.094079916272699,0.925045674103558,1
AADAT,0.14694721141219,-0.00784191839888744,0.0367030339235917,-0.213658587876215,0.830813307649741,1
AAED1,7.74345913915835,0.013406784875271,0.178683755266417,0.0750307987163216,0.94019020711904,1
AAGAB,41.6789085244118,0.201747014759534,0.139096224864144,1.45041330170233,0.146943299969813,1
AAK1,36.200146298543,-0.0805892599918275,0.149987980434183,-0.537304787747252,0.591057098840719,1
AAMDC,31.153787066836,0.00796736283430942,0.151205989755065,0.0526921112531029,0.957977224603502,1
AAMP,20.7441595999601,-0.0921151158251487,0.160191602516928,-0.575030865400166,0.565270422603453,1
AANAT,0.0372106998893251,0.00323804215001573,0.0344179956605189,0.0940799162726989,0.925045674103558,1
AAR2,14.5073743393311,-0.169983613278511,0.171719868947501,-0.989889022862457,0.322228365484627,1
AARD,1.67766912968043,0.00507858074336395,0.130501597155197,0.0389158512544819,0.968957478668573,1
