ID,Description,ont,comparison
GO:0005911,cell-cell junction,CC,mono-sp-vs-hc
GO:0000313,organellar ribosome,CC,mono-sp-vs-hc
GO:0005761,mitochondrial ribosome,CC,mono-sp-vs-hc
GO:0000314,organellar small ribosomal subunit,CC,mono-sp-vs-hc
GO:0005763,mitochondrial small ribosomal subunit,CC,mono-sp-vs-hc
GO:0044437,vacuolar part,CC,mono-sp-vs-hc
GO:0005840,ribosome,CC,mono-sp-vs-hc
GO:0030880,RNA polymerase complex,CC,mono-sp-vs-hc
GO:0000323,lytic vacuole,CC,mono-sp-vs-hc
GO:0005764,lysosome,CC,mono-sp-vs-hc
GO:0005759,mitochondrial matrix,CC,mono-sp-vs-hc
hsa04510,Focal adhesion,KG,mono-sp-vs-hc
hsa00190,Oxidative phosphorylation,KG,mono-sp-vs-hc
hsa04810,Regulation of actin cytoskeleton,KG,mono-sp-vs-hc
hsa05205,Proteoglycans in cancer,KG,mono-sp-vs-hc
hsa04020,Calcium signaling pathway,KG,mono-sp-vs-hc
hsa05206,MicroRNAs in cancer,KG,mono-sp-vs-hc
hsa05012,Parkinson's disease,KG,mono-sp-vs-hc
hsa04514,Cell adhesion molecules (CAMs),KG,mono-sp-vs-hc
hsa04010,MAPK signaling pathway,KG,mono-sp-vs-hc
hsa05322,Systemic lupus erythematosus,KG,mono-sp-vs-hc
hsa04024,cAMP signaling pathway,KG,mono-sp-vs-hc
hsa04917,Prolactin signaling pathway,KG,mono-sp-vs-hc
hsa05016,Huntington's disease,KG,mono-sp-vs-hc
hsa05152,Tuberculosis,KG,mono-sp-vs-hc
hsa04720,Long-term potentiation,KG,mono-sp-vs-hc
hsa05160,Hepatitis C,KG,mono-sp-vs-hc
hsa04725,Cholinergic synapse,KG,mono-sp-vs-hc
hsa04022,cGMP-PKG signaling pathway,KG,mono-sp-vs-hc
hsa04911,Insulin secretion,KG,mono-sp-vs-hc
hsa04722,Neurotrophin signaling pathway,KG,mono-sp-vs-hc
hsa04918,Thyroid hormone synthesis,KG,mono-sp-vs-hc
hsa04972,Pancreatic secretion,KG,mono-sp-vs-hc
hsa03008,Ribosome biogenesis in eukaryotes,KG,mono-sp-vs-hc
hsa05416,Viral myocarditis,KG,mono-sp-vs-hc
hsa04970,Salivary secretion,KG,mono-sp-vs-hc
hsa03013,RNA transport,KG,mono-sp-vs-hc
hsa04145,Phagosome,KG,mono-sp-vs-hc
hsa05168,Herpes simplex infection,KG,mono-sp-vs-hc
hsa04142,Lysosome,KG,mono-sp-vs-hc
hsa04750,Inflammatory mediator regulation of TRP channels,KG,mono-sp-vs-hc
hsa05140,Leishmaniasis,KG,mono-sp-vs-hc
hsa05032,Morphine addiction,KG,mono-sp-vs-hc
hsa04912,GnRH signaling pathway,KG,mono-sp-vs-hc
hsa05132,Salmonella infection,KG,mono-sp-vs-hc
hsa04146,Peroxisome,KG,mono-sp-vs-hc
hsa04971,Gastric acid secretion,KG,mono-sp-vs-hc
hsa00280,Valine, leucine and isoleucine degradation,KG,mono-sp-vs-hc
hsa00480,Glutathione metabolism,KG,mono-sp-vs-hc
hsa04630,Jak-STAT signaling pathway,KG,mono-sp-vs-hc
hsa04910,Insulin signaling pathway,KG,mono-sp-vs-hc
hsa05221,Acute myeloid leukemia,KG,mono-sp-vs-hc
hsa05200,Pathways in cancer,KG,mono-sp-vs-hc
hsa04660,T cell receptor signaling pathway,KG,mono-sp-vs-hc
hsa05150,Staphylococcus aureus infection,KG,mono-sp-vs-hc
hsa04270,Vascular smooth muscle contraction,KG,mono-sp-vs-hc
hsa04612,Antigen processing and presentation,KG,mono-sp-vs-hc
hsa05144,Malaria,KG,mono-sp-vs-hc
hsa00071,Fatty acid degradation,KG,mono-sp-vs-hc
hsa04120,Ubiquitin mediated proteolysis,KG,mono-sp-vs-hc
