baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ITM2A,233.502302681835,0.452707304367225,0.111630218448605,4.05541895965788,5.00445214876741e-05,0.813173429653216
HBB,62.4368720719023,0.507935639241243,0.13248069902117,3.83403501788648,0.000126058183927826,0.830791212434953
NOG,36.559535557642,-0.612835288262421,0.16188924336752,-3.78552197486751,0.000153386278374353,0.830791212434953
FHIT,85.9680296124251,-0.478585144787542,0.129239365405213,-3.70309110762809,0.000212988348328511,0.865211917997494
A1BG,6.38806088849219,-0.242092760170845,0.175697006771552,-1.37789917209929,0.16823442060951,1
A1BG-AS1,0.867491005320987,-0.012360734740014,0.0964803735213177,-0.12811657219883,0.898056721407148,1
A1CF,0.0829020109795684,-0.00341446300662042,0.0336427696786416,-0.101491733267969,0.919160119571562,1
A2M,5.19133523189121,0.117842842029465,0.167268272022201,0.704514015747257,0.481112724779201,1
A2M-AS1,3.98766327223929,0.0881964976589921,0.16683499670556,0.528645064887951,0.597051692426329,1
A2ML1,3.53966959085859,0.133503808831552,0.166681594418987,0.800951114590156,0.423159947120091,1
A2MP1,0.688195696631502,-0.0967119403930514,0.0971767113189108,-0.995217260189696,0.319630608859521,1
AAAS,20.1377797537399,-0.38878730496996,0.160633207165906,-2.42034204402337,0.015505914213859,1
AACS,1.70757962998184,-0.111549814677455,0.131086609640026,-0.850962695455926,0.394790075681708,1
AADAT,0.233276590531274,-0.00911390097890622,0.0545394466601323,-0.167106590495873,0.867286180466702,1
AAED1,1.84157326369229,0.0116713909401918,0.138262701497819,0.0844146021577331,0.932726797881318,1
AAGAB,31.5258506971711,0.0681009753163763,0.144887367108345,0.470027005635702,0.638335723493567,1
AAK1,53.4142072720675,0.0915008379685962,0.124102939908283,0.737297907980413,0.460941204150513,1
AAMDC,16.0688360211952,0.0495730029303611,0.168858029182405,0.293578002600107,0.769080386817621,1
AAMP,7.77633875391872,-0.225296101158396,0.17658091419465,-1.27588025119208,0.201997853212741,1
AAR2,7.07631035574015,0.0130279747223459,0.176152653233133,0.0739584359544319,0.941043457946339,1
AARD,1.12229698294349,0.0607914827991961,0.120190376751501,0.505793262674308,0.613001788676128,1
AARS,6.66556534944928,0.0668646831180838,0.175767755441107,0.380414956942927,0.703637413686279,1
AARS2,7.1803082338556,-0.00302166121871639,0.176204763415171,-0.017148578506909,0.986318084554926,1
AASDH,24.2517325542266,-0.156824532978333,0.156839444516383,-0.999904924822351,0.317356520869396,1
AASDHPPT,56.6819335668957,0.132663904351122,0.124317764341591,1.06713553814078,0.285910636080264,1
AASS,6.45722660398799,-0.25387700998121,0.175777768330296,-1.4443067083669,0.148652719605421,1
AATF,25.1605545798734,0.211437750535465,0.155768463413869,1.35738483837826,0.17465896316363,1
ABAT,1.57204154738207,0.111477315698292,0.135281569910101,0.8240391930133,0.409917288795924,1
ABCA1,3.30022216545002,-0.317995988771844,0.159285680578696,-1.99638779591827,0.0458917281720679,1
ABCA10,1.08908589144603,0.0757045370694623,0.104175775611137,0.726700008954568,0.467409747951977,1
ABCA11P,3.63297052848292,-0.00540997377943708,0.16625976128543,-0.0325392851379678,0.974041987595555,1
ABCA13,4.61266797021756,0.183613966798524,0.170400486482733,1.07754367718387,0.281237448952891,1
ABCA17P,0.12428004889365,-0.000121439522959365,0.0344861026701152,-0.00352140466903503,0.997190331389024,1
ABCA2,0.541401535958548,-0.0155087349612605,0.0809475238259326,-0.191589986058252,0.848063387169253,1
ABCA3,0.525985409747288,0.0139519302070402,0.0874202394058326,0.159596110716089,0.873199242909786,1
ABCA5,21.1216763804295,0.0613718609223502,0.162297732591623,0.378143674235889,0.705323865502438,1
ABCA6,0.232018365081369,0.00734755693484671,0.0508016485693692,0.144632253908329,0.885001230043891,1
ABCA7,6.91890055116593,-0.0355992830371998,0.175793942277296,-0.20250574380456,0.839521368526278,1
ABCA9,0.0743990621368557,-0.00341446300662042,0.0336427696786416,-0.10149173326797,0.919160119571562,1
ABCB1,6.30867544425797,-0.153400455126351,0.175625089116868,-0.873454105547941,0.382415611136487,1
ABCB10,6.70365831348232,-0.0787684009114765,0.175932108994614,-0.447720438080396,0.654354969558231,1
ABCB5,4.30622804970725,0.166586990814414,0.169230762256992,0.984377713559169,0.32492983175773,1
ABCB6,0.739595529870806,0.0985262022559205,0.0992899188339191,0.992308216312715,0.321047196508591,1
ABCB7,20.1857574785303,0.0452558689750057,0.15913795681036,0.284381362448531,0.776118140257183,1
ABCB8,1.59819446948398,-0.0113521577144297,0.12777688602911,-0.0888435934480629,0.929206212088092,1
ABCB9,0.156100610721028,0.00473793889618423,0.0409503849349922,0.115699495956036,0.907890705739207,1
ABCC1,8.51037770794458,-0.0763767300002992,0.176355417613317,-0.433084115214228,0.664953662399801,1
ABCC10,4.81463192512298,-0.0609793865926377,0.171912925289538,-0.354710889189601,0.722806192349867,1
ABCC13,0.590563392663927,0.0212405234455238,0.0913226048757552,0.232587796574809,0.816081504382904,1
ABCC2,1.14903649668994,-0.0349145447475094,0.112361901218764,-0.310732947456381,0.756003647843201,1
ABCC3,0.156579381951383,0.0047428723710606,0.040971405204358,0.115760549275867,0.907842317368698,1
ABCC4,2.96272535626707,0.213912422002329,0.159798106803509,1.33864177918803,0.180687318188449,1
ABCC5,9.76719640263225,-0.107304518929261,0.175561978597222,-0.611205910224111,0.541063271160941,1
ABCC6,0.379916357466316,0.0380856625790632,0.0661112818536933,0.576084164626367,0.564558294349535,1
ABCC9,0.662328537492767,0.0281437970210486,0.0906132488610152,0.31059251682076,0.756110416739426,1
ABCD1,0.356698768384596,0.012124201473228,0.0683489680388665,0.177386752442752,0.859204612328799,1
ABCD2,19.9080350891006,-0.0805018137228274,0.158480437447638,-0.507960572417181,0.611480993947883,1
ABCD3,11.430397975449,-0.15167096444157,0.174921569372317,-0.867079828896007,0.38589827179151,1
ABCD4,11.9955424026841,-0.144256795048691,0.171676110166255,-0.840284620317819,0.400748822509101,1
ABCE1,81.9994023521029,0.0281292589725002,0.116257552185315,0.241956401487467,0.808813946136313,1
ABCF1,59.2929244884551,-0.180361110403652,0.119957883564349,-1.50353695017385,0.132700635983867,1
ABCF2,32.6555167468445,0.0631751490518146,0.150009136781236,0.421142007796133,0.673651388281198,1
ABCF3,4.33832263215476,-0.0190552357909507,0.165842655888354,-0.114899485231223,0.908524793119262,1
ABCG1,2.8504719669904,0.0697515132058839,0.157271803226402,0.443509337178975,0.657397367044609,1
ABCG2,0.521425543437194,0.0558304865489805,0.086688412851272,0.644036321725798,0.519551881186027,1
ABHD1,0.247774833249919,-0.0139288992680699,0.0514762767677617,-0.270588708870904,0.786707380981378,1
ABHD10,9.21179028386188,0.0390381486530228,0.176409632079138,0.221292614200964,0.824864600453015,1
ABHD11,7.05619051807049,-0.248598752019975,0.1761933866854,-1.41094258244697,0.158261544892521,1
ABHD12,4.02545298239579,0.18500701400373,0.168404709534457,1.09858574926538,0.271948796438556,1
ABHD13,20.3211779859535,0.305614841440456,0.16226380940105,1.88344426627567,0.0596401861617567,1
ABHD14A,2.91776582173048,0.114635152839671,0.159400603884547,0.719163855381003,0.472039966845308,1
ABHD14B,27.5165517202916,-0.15011931126172,0.147001613002967,-1.02120859897429,0.307155619180778,1
ABHD15,5.91702530463799,0.246608777411672,0.174095072741523,1.41651784584282,0.156623942946567,1
ABHD16A,8.04934228797381,-0.140804930389782,0.176581463545911,-0.797393608379359,0.425222470184589,1
ABHD16B,0.133771411227191,0.00420519206354145,0.0386093854879778,0.108916316859041,0.913268864656303,1
ABHD17A,4.77619762776654,-0.0352922999852676,0.172215487120114,-0.204931046420074,0.837625998419081,1
ABHD17B,4.70175128882405,0.120663971992403,0.171901798603091,0.701935482775299,0.482719399424,1
ABHD17C,0.627296198271861,0.00485118641854239,0.0934302634326034,0.0519230733202613,0.958589989220245,1
ABHD2,12.270244946901,0.128946954564778,0.172094759808639,0.749278796798699,0.453689184771329,1
ABHD3,4.62229477471225,-0.0575300774200769,0.171010314866625,-0.336412908571895,0.736559516546595,1
ABHD4,5.96242630724816,-0.0842799679338692,0.174963921293548,-0.481699125801298,0.630019697182369,1
ABHD5,6.04086109430941,-0.085470593556822,0.175053008302101,-0.488255496925364,0.625368879504426,1
ABHD6,1.08157176726187,0.0222792614235738,0.118239375341134,0.188425060258442,0.850543456279872,1
ABHD8,0.189553952530592,0.00640539568912438,0.0474983996018102,0.134854979174504,0.892726535714218,1
ABI1,114.565059311628,0.0556325634966903,0.106586610915556,0.521947015847662,0.601707221795459,1
ABI2,11.1232151845264,-0.0143838331930646,0.176262898747433,-0.0816044289256538,0.934961279270744,1
ABI3,2.96495779699815,-0.234934675023088,0.159701342290185,-1.4710876668538,0.141267409939147,1
ABI3BP,0.196580266878891,-0.00603259877530873,0.0445594977617109,-0.13538300650445,0.89230905927551,1
ABL1,1.80826746273712,0.0547778409219797,0.139014784807818,0.394043273869808,0.693549090547254,1
ABL2,19.0899262021482,0.211816194796971,0.162910475382108,1.30019996749843,0.193532441781852,1
ABLIM1,168.21877329921,-0.0807259188718144,0.0933196550951106,-0.865047334235635,0.387012809241732,1
ABLIM2,0.113448257251219,-0.00671340798898005,0.0336427696786416,-0.199549800837061,0.841832691148628,1
ABLIM3,0.0855333310851079,-0.00671340798898005,0.0336427696786416,-0.199549800837061,0.841832691148628,1
ABO,0.0705017390780877,-0.00341446300662042,0.0336427696786416,-0.101491733267969,0.919160119571562,1
ABR,5.35539733162995,0.0335222723016225,0.173388035547888,0.193336709742952,0.846695278424474,1
ABRA,0.1339370540184,-0.000128746737500752,0.0354981167303463,-0.00362686106642638,0.997106189895178,1
ABRACL,364.58257225191,0.116293014215291,0.104135496926033,1.11674710015445,0.264102473000847,1
ABT1,15.5540176203072,0.095381350665967,0.16840236943799,0.566389600005532,0.571128963005292,1
ABTB1,3.52022324304228,-0.12542042853225,0.162187914725863,-0.773303169624205,0.439342980375469,1
ABTB2,0.247855333437768,-0.00820090973343294,0.0518004196876384,-0.158317438022418,0.874206667873882,1
ACAA1,6.3092657761549,-0.00567434135765803,0.174448510132475,-0.0325273133794549,0.974051534623139,1
ACAA2,52.3896028684734,-0.207302164168626,0.144769453835776,-1.43194685533446,0.152159031306974,1
ACACA,3.73526819179891,0.0284618475578673,0.167222548428643,0.170203407526781,0.864850172002275,1
ACACB,2.29610323259175,-0.127988634717207,0.15014347043871,-0.852442229710235,0.393968690053947,1
ACAD10,3.72997336850396,0.0722241227751634,0.166183446445078,0.434604795604795,0.663849313507604,1
ACAD11,0.0683431451874605,-0.000115518024260776,0.0336427696786416,-0.00343366569887716,0.997260336535375,1
ACAD8,6.23519188580467,0.228281610962605,0.174657504313662,1.30702434951001,0.191204441935507,1
ACAD9,3.16914900175675,-0.184858212092732,0.159035897696006,-1.16236783500342,0.245086082840895,1
ACADM,62.8617459969499,-0.134239567646533,0.127137991632443,-1.05585722979344,0.291033447010789,1
ACADS,4.66015993587898,0.0120572365429406,0.165228580920526,0.0729730684350554,0.941827548633802,1
ACADSB,15.1278130786226,0.0824636380254367,0.166201504375805,0.496166616151529,0.619776862330045,1
ACADVL,12.0985204950997,0.277663316897897,0.172239958477214,1.61207259542291,0.106946143358304,1
ACAN,0.135354701497835,-0.000129806680663623,0.0356424300953374,-0.00364191443502624,0.997094179124108,1
ACAP1,32.9019353667753,-0.0210646150471501,0.146875812134578,-0.143417862621581,0.885960176471107,1
ACAP2,57.9217283634221,0.146956648690161,0.120231764841238,1.22227806340706,0.221602491915667,1
ACAP3,1.76811014396804,-0.107124491303545,0.136382089570829,-0.785473309879964,0.432176113069346,1
ACAT1,22.5020231687063,-0.0629121413766586,0.161809847978063,-0.388802919987835,0.697421940619687,1
ACAT2,3.58368419248783,-0.083692129055864,0.164028364704853,-0.510229613070014,0.609890608027551,1
ACBD3,8.24095627843779,-0.152604467369857,0.176438948567132,-0.864913720066712,0.387086146538369,1
ACBD4,7.09926970849358,0.0760587470031652,0.17611109142846,0.431879368790704,0.665829090265734,1
ACBD5,18.732633147631,0.151378250890914,0.159282651206088,0.95037500785351,0.341921738276659,1
ACBD6,14.2784755218071,-0.478374537931214,0.170462712180359,-2.80632950052483,0.00501094230642194,1
ACBD7,5.59871396083313,0.140851574911115,0.17329358407167,0.812791631413555,0.416337534392115,1
ACCS,1.98519333323686,0.0767656973156861,0.143512574025951,0.534905724022515,0.592715050002738,1
ACD,3.92926840288442,-0.0456072543423803,0.167849130639023,-0.271715761462377,0.785840581207347,1
ACE,0.762372843655837,0.0693730994774582,0.0889907914644824,0.779553685677086,0.435653625995378,1
ACER2,0.182393332864778,0.0126757180480896,0.0468368237497544,0.270635731317201,0.786671211408798,1
ACER3,2.876486610866,-0.0400886083442255,0.15440924900172,-0.259625693430962,0.795152515276952,1
ACIN1,100.319030928494,-0.207228152231504,0.102270977999936,-2.02626547906517,0.0427375867999219,1
ACLY,16.6188212012437,0.0825138075379906,0.167499847212926,0.492620195844709,0.622280975284739,1
ACN9,59.4192435474743,0.0265218898199729,0.133108669872871,0.199249904948366,0.842067263451889,1
ACO1,1.62924291793437,-0.048174832340482,0.13555679052658,-0.355384869716548,0.722301282271296,1
ACO2,1.09896207734776,0.0201891910772635,0.114997621081377,0.175561814995955,0.86063820354657,1
ACOT11,0.125020472944859,-0.000122005319249351,0.0345655642466534,-0.00352967821901427,0.997183730092258,1
ACOT13,22.7250703621924,-0.0166472756352228,0.16491689418084,-0.100943421945408,0.919595373397339,1
ACOT2,1.08677122211511,0.156417140116003,0.115481408222125,1.35447898085152,0.175583614826849,1
ACOT4,0.42354525258003,-0.0579748473130362,0.0719253398824646,-0.806042034806853,0.420218612310368,1
ACOT7,0.704928091675946,0.0815832286741761,0.0948169713632814,0.860428544607256,0.389552856609524,1
ACOT8,2.14020598561255,-0.0468514232855709,0.146558244196235,-0.319677842365788,0.749212558292891,1
ACOT9,18.208965748524,0.199308893300837,0.166838690186356,1.19462034302843,0.232235397439679,1
ACOX1,18.5513951089953,-0.000311479612828024,0.166425965966095,-0.00187158062156887,0.998506695589547,1
ACOX2,0.151609887519561,-0.00977337384098644,0.040506703573438,-0.241277936212891,0.809339710166055,1
ACOX3,1.65741776276189,-0.048110197187537,0.130556905788289,-0.368499826930276,0.712500574166638,1
ACP1,275.443370014505,-0.0572325836156187,0.0809294791856755,-0.707190806014094,0.479447911288263,1
ACP2,1.45499333566449,-0.266103961065345,0.130315475637463,-2.04199815688541,0.0411517141572684,1
